ID,Status,Assigned To,Submitted By,Category,Building,Description,Floor,Issue Type,Submitted Date,Required Due Date,Last Note,Tenant,Created For,Suite,Groups,Ticket Type,Updated At,Completion Date,Billable Total,Object ID
"W-UNP-3061","on_hold","Sean Martell","Sean Martell","CW Engineering","300 Massachusetts Avenue","GEF 1 fan failure due to mechanical issue (seized) ","Roof","CW Engineering (CW Use Only)",2026-03-05 08:07:12,"","Disconnected electrical load side wires and disconnect switches for GEF 1 & GEF 6 in prep for Saturday’s crane pick. Electrical components wrapped with heavy duty trash bags and tape (images attached)","CW Engineering","","","300 Massachusetts Ave Engineering Group, SM Notification, Facilities Management","base_building",2026-05-12 12:27:26,"","0.00","3uSSU2Vbm6"
"W-UNP-2950","in_progress","Dariusz Olszewski","Steven Mello","HVAC-Mechanical","65 Landsdowne Street","Install strap mounted sensors to the primary HW loop and the boiler return lines.  Route wires back to HW panel","06","HVAC-Mechanical",2026-02-19 11:45:06,2026-02-24 08:45:00,"","BMR Facilities","","","65 Landsdowne Engineering Group, Facilities Management, SM Notification","base_building",2026-05-05 20:07:13,"","0.00","A53buqNfDz"
"W-UNP-3635","in_progress","Dariusz Olszewski","Chris DiLuiso","General Repairs","38 Sidney Street","Slow leak coming from ceiling at 38 Sidney on the 5th floor. Bucket has been placed to catch water. Photos attached for specifics.\n\n","05","General Repairs",2026-04-30 10:43:52,2026-05-20 10:43:00,"Just walked the vacant space for any leaks or puddles of water coming from the roof due to the rain overnight. Zero leaks. Space is completely dry. ","BMR Team","","","Property Management","base_building",2026-05-11 09:31:21,"","0.00","AZQ8yIfTWe"
"W-UNP-3693","on_hold","Sean Martell","Steven Mello","HVAC-Mechanical","35 Landsdowne Street","AHU 1.1 Chamber A hot water coil leak ","9","HVAC-Mechanical",2026-05-05 08:38:31,2026-05-07 16:38:00,"Hamel wants to clean and braze the failed joint. They will be in touch.","BMR Facilities","","","35 Landsdowne Engineering Group, Facilities Management, SM Notification","base_building",2026-05-07 14:40:20,"","0.00","D4gd7mKeKh"
"W-UNP-2884","on_hold","Sean Martell","Sean Martell","CW Engineering","35 Landsdowne Street","Fuel Line Leak Detector and Monitor disconnect due to failure.","01","CW Engineering (CW Use Only)",2026-02-12 12:24:56,"","Tony from Gaston says they should have the new one by end of this week or beginning of next ","CW Engineering","","","35 Landsdowne Engineering Group, SM Notification, Facilities Management","base_building",2026-05-05 11:28:01,"","0.00","FsYthbkMPc"
"W-UNP-2966","submitted","Evan Sullivan","Jorge Figueroa","CW Engineering","65 Landsdowne Street","RTU1 SF2 motor circuit breaker found tripped; trips instantly upon reset. ","Roof","CW Engineering (CW Use Only)",2026-02-24 01:07:55,"","Gaston says the VFD replacement was never approved by BMR ","CW Engineering","","Roof","65 Landsdowne Engineering Group, SM Notification, Facilities Management","base_building",2026-05-05 10:57:52,"","0.00","IXDiCBnuKR"
"W-UNP-3624","accepted","Jorge Figueroa","Jorge Figueroa","CW Engineering","300 Massachusetts Avenue","CT2 belt showing signs of wear and tear.  Motor sheave is missing a small piece.  Replace belt and sheave.","Roof","CW Engineering (CW Use Only)",2026-04-29 15:07:02,"","Replacement sheave has been ordered. ","CW Engineering","","","300 Massachusetts Ave Engineering Group, SM Notification, Facilities Management","base_building",2026-05-06 11:48:40,"","0.00","NM4Q2eiVFZ"
"W-UNP-3667","submitted","Mark Donovan","Mark Donovan","CW Engineering","75 Sidney Street","Vacuum pump 1 is making a loud grinding noise. It has been turned off, with pump 2 still in auto and operating fine. ","06","CW Engineering (CW Use Only)",2026-05-01 13:31:03,"","Bret from Comairco came out to inspect the unit. He said that the pump is showing several signs of failure and probably needs to be replaced. He will be following up directly with Steve Mello.","CW Engineering","","","75 Sidney Engineering Group, SM Notification, Facilities Management","base_building",2026-05-07 14:31:37,"","0.00","OlDyXtTBtG"
"W-UNP-3283","on_hold","Sean Martell","Jorge Figueroa","CW Engineering","300 Massachusetts Avenue","AHU5 SF4 motor sealed bearing replacement.  Fan 4 powered off from breaker.","07","CW Engineering (CW Use Only)",2026-03-24 11:27:18,"","","CW Engineering","","","300 Massachusetts Ave Engineering Group, SM Notification, Facilities Management","base_building",2026-03-24 11:31:25,"","0.00","Oyr1kOvo1o"
"W-UNP-3706","on_hold","Evan Sullivan","Daryn Hurst","Plumbing","65 Landsdowne Street","Small leak (drip) from hot water loop located near safety shower.","06","Plumbing",2026-05-05 13:51:06,2026-05-08 13:51:00,"Placing WO on hold to discuss next steps with management ","The Brighams and Womens Hospital","Daryn Hurst","Mechanical Room","65 Landsdowne Engineering Group, Facilities Management, SM Notification","tenant_request",2026-05-12 15:05:15,"","0.00","PMhSQd1nd1"
"W-UNP-3492","in_progress","Dariusz Olszewski","Jie Lao","CW Engineering","750 Main Street","Engine, Chilled Water bypass valve alarm.","05","CW Engineering (CW Use Only)",2026-04-17 09:01:58,"","High Torque actuator is ordered.","CW Engineering","","","730-750 Main Engineering Group, SM Notification, Facilities Management","base_building",2026-04-17 14:40:11,"","0.00","TRdCHVTvNi"
"W-UNP-3285","in_progress","Mark Donovan","Kelly Shea","Leaks","45 Sidney Street","Small puddle of water found outside of electrical room 4602. \nNo active leak or drip. ","06","Leaks",2026-03-24 12:41:23,2026-03-25 12:41:00,"Since this incident, there have been no leaks spotted in this location despite the rain we have had. I am still planing on going up with some waterproofing spray to get a better seal around that conduit. ","Blueprint Medicines","Kelly Shea","Mechanical Room","45 Sidney Engineering Group, Facilities Management, SM Notification","tenant_request",2026-05-05 11:37:17,"","0.00","Tc78eHq6wC"
"W-UNP-3360","in_progress","Mark Donovan","Steven Mello","General Engineering","45 Sidney Street","Add hose caps to all pump drains, chiller drains, heat exchanger drains, and water spigots in the penthouse. ","06","General Engineering",2026-04-01 08:24:11,"","Several caps have been located in the penthouse and placed onto their respective drains. I will be double checking numbers of missing caps before asking for an order of new ones.","BMR Facilities","","","45 Sidney Engineering Group, SM Notification, Facilities Management","base_building",2026-05-08 17:29:08,"","0.00","WgfCO5IKxo"
"W-UNP-2327","in_progress","Mark Donovan","Steven Mello","HVAC-Mechanical","45 Sidney Street","AHU6 - Survey Outside Air Damper End Switches for any missing/broken/jumped out.  Identify  and order how many switches and brackets are needed to get 2-4 end switches wired to the safety circuit.  Once parts are in hand schedule and replace them. ","Roof","HVAC-Mechanical",2025-12-11 12:58:05,2025-12-16 09:58:00,"Coming in this Saturday (5/9) to replace all end switches for 45 & 75 AHU's.","BMR Facilities","","","45 Sidney Engineering Group, Facilities Management, SM Notification","base_building",2026-05-07 14:30:18,"","0.00","bShjS0lOZq"
"W-UNP-3739","on_hold","Piotr Olszewski","Jie Lao","CW Engineering","26 Landsdowne Street","26 AC1 lock out on ""blocking air fault"" 3 times.\n\nA service call was placed with Comairco due to compressor 1 going into shutdown from a “blocking air” fault, 3 times recently. The unit takes the reset but the fault has continued to return.","Roof","CW Engineering (CW Use Only)",2026-05-11 08:53:26,"","May 7 
Sean called Comairco this morning and they believe they sent the quote to Steve. They said they were going to double check and send it out again today.","CW Engineering","","Roof","26 Landsdowne Engineering Group, SM Notification, Facilities Management","base_building",2026-05-11 08:55:08,"","0.00","cMhu26bYx7"
"W-UNP-3735","in_progress","Dariusz Olszewski","Mark Donovan","CW Engineering","20 Sidney Street","Security office by the loading dock is reaching temperatures higher than the thermostat is set to. ","01","CW Engineering (CW Use Only)",2026-05-08 16:12:54,"","Battery replacement in the thermostat, adjustment of heating settings, and verification of unit operation. The temperature is currently at the correct level. I would just like to note that the thermostat for this room is located in Storage Room 1122.","BIOMED REALTY","","","20 Sidney Engineering Group, SM Notification, Facilities Management","base_building",2026-05-11 10:56:29,"","0.00","giycDMLwwZ"
"W-UNP-3365","on_hold","Sean Martell","Sean Martell","CW Engineering","40 Landsdowne Street","CWP 3.3 SOFT STARTER IS FAILED","09","CW Engineering (CW Use Only)",2026-04-01 11:56:48,"","Lighthouse will be stopping by tomorrow to price this job for a VFD replacement.","CW Engineering","","","40 Landsdowne Engineering Group, SM Notification, Facilities Management","base_building",2026-04-01 12:02:38,"","0.00","nhU8fjrywa"
"W-UNP-3690","on_hold","Sean Martell","Steven Mello","HVAC-Mechanical","75 Sidney Street","Tune AHU1 chilled water valve transducer","06","HVAC-Mechanical",2026-05-05 07:27:46,2026-05-07 15:27:00,"Gathered manuals and tried to calibrate the spring positioner. Took multiple tries of trial and error. Control is better than before but need to return tomorrow morning to continue spring positioner adjustments. It is difficult to get the starting point and span set ","BMR Facilities","","","75 Sidney Engineering Group, Facilities Management, SM Notification","base_building",2026-05-12 10:59:13,"","0.00","opCLCmm5p2"
"W-UNP-2198","on_hold","Dariusz Olszewski","Steven Mello","HVAC-Mechanical","38 Sidney Street","Request quote from electrician to replace failed heating element ","06","HVAC-Mechanical",2025-11-17 13:48:12,2025-11-20 13:48:00,"Once again, we have submitted an inquiry regarding the replacement of damaged heating elements in the MAU in Building 38.A photo from a phone has been attached.We are waiting for a response. ","BMR Facilities","","Mechanical Room","38 Sidney Engineering Group, Facilities Management","base_building",2026-05-05 08:06:10,"","0.00","qRIG8X3tG9"
"W-UNP-2866","on_hold","Sean Martell","Steven Mello","General Engineering","35 Landsdowne Street","There are wet absorption pads under the fuel pumps in the main fuel room.  Is there an oil leak?","01","General Engineering",2026-02-12 08:49:06,"","Emailed John Fahey with Hamel, no response yet. Gordon says he is out of office for some reason. No other updates","BMR Facilities","","","35 Landsdowne Engineering Group, SM Notification, Facilities Management","base_building",2026-05-07 13:12:15,"","0.00","qri5ZqssTv"
"W-UNP-3475","accepted","Brandon Gonzalez","Alyssa Lau","General Engineering","20 Sidney Street","per my call w/ Steve - there is a water leak (slow drip) above the island in our main cafe area. The soffit is stained and paint is peeling, so this may be recurring (the water spots on the wood feature were dry). Upon investigation, it is not coming from the ductwork but above it / from the deck somewhere. Photos included.","02","General Engineering",2026-04-15 16:35:20,"","I took the containment tarp down, no leaks at this time.","Walden Robotics","Alyssa Lau","","20 Sidney Engineering Group, Facilities Management, SM Notification","tenant_request",2026-05-05 15:23:53,"","0.00","rxxq9B72r2"
"W-UNP-2951","in_progress","Dariusz Olszewski","Steven Mello","HVAC-Mechanical","88 Sidney Street","Install strap mounted sensors to the primary HW loop and the boiler return lines.  Route wires back to BB panel","06","HVAC-Mechanical",2026-02-19 11:45:42,2026-02-24 08:45:00,"","BMR Facilities","","","88 Sidney Engineering Group, Facilities Management, SM Notification","base_building",2026-02-24 08:45:04,"","0.00","vl4B111OBy"
"W-UNP-3758","in_progress","Dariusz Olszewski","Dariusz Olszewski","CW Engineering","45 Sidney Street","New installation of the DP transducer for chilled water loop in Building 45.","06","CW Engineering (CW Use Only)",2026-05-12 12:13:15,"","","BMR Team","","Mechanical Room","45 Sidney Engineering Group, SM Notification, Facilities Management","base_building",2026-05-12 12:13:21,"","0.00","xUwQKJnZYI"
"W-UNP-3756","in_progress","Dariusz Olszewski","Dariusz Olszewski","CW Engineering","75 Sidney Street","New installation of the DP transducer for chilled water loop in Building 75.","06","CW Engineering (CW Use Only)",2026-05-12 12:11:31,"","","BMR Team","","","75 Sidney Engineering Group, SM Notification, Facilities Management","base_building",2026-05-12 12:12:03,"","0.00","yCD61YAkAw"